class,pi_win1,pi_win2,pi_win3,pi_win4,pi_win5,pi_win6,pi_win7,pi_win8,pi_win9,pi_win10,pi_win11,thetaW_win1,thetaW_win2,thetaW_win3,thetaW_win4,thetaW_win5,thetaW_win6,thetaW_win7,thetaW_win8,thetaW_win9,thetaW_win10,thetaW_win11,tajD_win1,tajD_win2,tajD_win3,tajD_win4,tajD_win5,tajD_win6,tajD_win7,tajD_win8,tajD_win9,tajD_win10,tajD_win11,ZnS_win1,ZnS_win2,ZnS_win3,ZnS_win4,ZnS_win5,ZnS_win6,ZnS_win7,ZnS_win8,ZnS_win9,ZnS_win10,ZnS_win11,Omega_win1,Omega_win2,Omega_win3,Omega_win4,Omega_win5,Omega_win6,Omega_win7,Omega_win8,Omega_win9,Omega_win10,Omega_win11
1,0.131396919,0.138163946,0.132380236,0.134569943,0.138093903,0.128058381,0.126631504,0.137860124,0.13580814,0.127613166,0.135779281,0.127929967,0.127639597,0.131690277,0.134782327,0.126549653,0.136055747,0.133721739,0.128574766,0.129697007,0.125647021,0.135172455,0.126518397,0.126955633,0.129252045,0.126461386,0.127574168,0.129219036,0.127656486,0.125114464,0.126171625,0.128595521,0.126366703,0.070507539,0.065729364,0.069295187,0.063736899,0.06399275,0.06895339,0.06724382,0.06874732,0.063240966,0.070434324,0.070658652,0.063433057,0.067292326,0.065491709,0.067634454,0.066650968,0.06933727,0.063458852,0.069617076,0.068008177,0.064158185,0.06688388
1,0.135663226,0.134636618,0.136413932,0.136639371,0.127814148,0.128118921,0.130059097,0.133781385,0.128089072,0.125580784,0.125018616,0.125937936,0.129850532,0.130739545,0.136249036,0.138087503,0.136990143,0.125157756,0.127044672,0.127590323,0.127363757,0.129430302,0.12681645,0.125177334,0.133226616,0.12843213,0.125748308,0.125143241,0.129724162,0.136106423,0.130639501,0.126270745,0.126522504,0.065561795,0.07048504,0.063840775,0.070832335,0.063257016,0.069343303,0.063724006,0.069549874,0.063467878,0.070420114,0.06958684,0.064886992,0.068433095,0.069117975,0.07021129,0.062932105,0.065455967,0.069590843,0.065711816,0.069518775,0.064034885,0.065686112
1,0.138103903,0.132758493,0.13281014,0.125253996,0.125642248,0.127165959,0.13768939,0.126830471,0.125068011,0.130072736,0.128795589,0.13745623,0.135262501,0.12687121,0.127018688,0.137173224,0.129958999,0.132508175,0.137178596,0.13094496,0.130576472,0.131831307,0.134736958,0.13572028,0.137840745,0.126423208,0.130926164,0.130083431,0.12517375,0.126507605,0.130924398,0.13635615,0.137124694,0.070006883,0.064012836,0.070667989,0.064674145,0.065821196,0.063014966,0.069270498,0.063965486,0.069006507,0.065601841,0.070572864,0.067598642,0.065284034,0.065172519,0.065774252,0.067699642,0.067324312,0.06408623,0.065039348,0.067386202,0.068087069,0.069442174
1,0.127826838,0.135909207,0.125445027,0.130980131,0.137041816,0.131695826,0.127793904,0.130117684,0.129551205,0.135665404,0.126359353,0.125536526,0.126181733,0.13736372,0.135559365,0.132919506,0.126667959,0.125192209,0.128940071,0.136527421,0.138234576,0.135267468,0.137072562,0.134215895,0.136656381,0.134720758,0.137697635,0.134954704,0.13356168,0.126306336,0.131869765,0.132678253,0.133921903,0.069381112,0.069723953,0.068545898,0.064069479,0.064838988,0.069917961,0.066398684,0.068915685,0.068677582,0.066176872,0.069800428,0.064680887,0.067887447,0.068011447,0.06517073,0.06586394,0.068582517,0.065709038,0.063560006,0.062888845,0.066008412,0.06950335
1,0.13284906,0.129927275,0.136751532,0.133576478,0.130696401,0.131298544,0.137565902,0.12542235,0.133713855,0.125858531,0.128786573,0.138082594,0.130533838,0.128526298,0.129216685,0.127804173,0.138427468,0.128700133,0.1378545,0.136747458,0.136079206,0.138168105,0.133525232,0.13812113,0.12563527,0.128833439,0.137334563,0.13693322,0.12561885,0.130866626,0.129737777,0.1268421,0.133161766,0.070850096,0.070211487,0.069156102,0.066204626,0.069732487,0.06859213,0.064808638,0.066942324,0.06484103,0.070745267,0.069995609,0.066551321,0.065237725,0.065345311,0.063151362,0.067164453,0.067676291,0.063715488,0.066025208,0.070485854,0.068920487,0.065462219
1,0.133449089,0.130362274,0.127573798,0.128720853,0.12919647,0.133588202,0.127522462,0.130365586,0.12960214,0.1341389,0.132342329,0.13199541,0.134153475,0.125929906,0.137544389,0.136845523,0.128185876,0.137003355,0.137669098,0.125457113,0.125077432,0.130430195,0.133931964,0.126769818,0.137697781,0.127454781,0.130176404,0.127511681,0.127449315,0.135436617,0.1265346,0.126335289,0.130259268,0.0671566,0.069878322,0.063098878,0.070589995,0.064482152,0.064829071,0.067647833,0.068618916,0.068711953,0.068159907,0.063302563,0.06390462,0.068979436,0.063530785,0.065640307,0.063191295,0.065475352,0.063176867,0.067235693,0.065059695,0.065864298,0.069204739
1,0.135216403,0.129194264,0.132603059,0.136074671,0.126041856,0.131466908,0.12777764,0.13774554,0.127754631,0.129364733,0.127179354,0.128206263,0.132270632,0.127672292,0.128699195,0.132882222,0.130153308,0.126864858,0.131801955,0.13697566,0.129010028,0.126596291,0.133047344,0.131117413,0.136012705,0.136627133,0.126438402,0.131173352,0.135916848,0.131860758,0.134113655,0.13515787,0.127136218,0.065859953,0.070515608,0.064738796,0.065190161,0.0685715,0.063877829,0.068394716,0.069993985,0.062914328,0.063349463,0.065442958,0.068624861,0.067318914,0.069347891,0.070447299,0.064982479,0.065446568,0.069455465,0.063466154,0.068295445,0.068520131,0.066845465
1,0.136708907,0.134929858,0.130986673,0.129233193,0.137706695,0.137130598,0.134340131,0.127549205,0.136021127,0.138373791,0.135849065,0.136639674,0.137313626,0.136715469,0.129217513,0.125662962,0.138263608,0.138185443,0.126962925,0.134779379,0.134301015,0.129611899,0.131403661,0.126658954,0.132537423,0.128541381,0.136554982,0.132185362,0.126607799,0.127614546,0.130106893,0.133876421,0.136812676,0.068566991,0.063093301,0.069357433,0.067736963,0.068906269,0.063953795,0.067579743,0.066562721,0.069833707,0.070227489,0.066738542,0.066863744,0.069022972,0.06688901,0.066481231,0.066748957,0.070306319,0.069450148,0.063188091,0.065657901,0.067169988,0.063764383
1,0.135693817,0.132480935,0.137888154,0.131360604,0.137977387,0.127833958,0.134221123,0.135751125,0.132297014,0.125783402,0.126707939,0.131145362,0.136815082,0.129654333,0.129703008,0.136287223,0.137192763,0.132137258,0.127055254,0.133578113,0.125838217,0.125525051,0.136749787,0.126136336,0.136827859,0.135824352,0.129530353,0.133622111,0.125372536,0.126719745,0.131296462,0.135813821,0.130734743,0.066851221,0.067224127,0.065981655,0.064883991,0.063698599,0.066879544,0.070046964,0.063483525,0.069219014,0.070446085,0.07013637,0.065527528,0.066142984,0.067767829,0.066011271,0.06493986,0.067992083,0.064531191,0.069649013,0.063339231,0.064751651,0.067689115
1,0.13794543,0.126727675,0.129993877,0.135587122,0.130268,0.130711554,0.131672353,0.128103888,0.133488374,0.127878902,0.131763577,0.136046442,0.134174235,0.128041503,0.130475654,0.125879831,0.128261806,0.138078881,0.128347014,0.129719681,0.130633694,0.13476313,0.130091448,0.131863449,0.125944183,0.132087693,0.138400231,0.129743692,0.131782613,0.138286673,0.133404983,0.129626409,0.132977867,0.06840616,0.063971263,0.066177604,0.068705855,0.068837006,0.065952144,0.065477683,0.064107479,0.06639142,0.065176599,0.070642221,0.065304888,0.066451049,0.068420873,0.069793632,0.06854631,0.066803565,0.068441012,0.064702941,0.063574481,0.065396193,0.067647589
